ID,Letter,Word_Class,Vietnamese_Meaning,IPA,Verb_Structure_Collocation,Example,Vietnamese_Explanation
19,over,Preposition,hơn,/ˈoʊvər/,over + a period of time,"Over the past few decades, the fishing industry has undergone significant changes. (Trong vài thập kỷ qua, ngành công nghiệp đánh bắt cá đã trải qua những thay đổi đáng kể.)","Trong đoạn văn, ""over"" được sử dụng để chỉ khoảng thời gian hơn một nghìn năm."
20,a,Determiner,một,/ə/ or /eɪ/,a + noun,"A thousand years ago, fishing techniques were much simpler than they are today. (Một nghìn năm trước, kỹ thuật đánh bắt cá đơn giản hơn nhiều so với ngày nay.)","Trong đoạn văn, ""a"" được sử dụng để chỉ một khoảng thời gian không xác định, trong trường hợp này là một nghìn năm."
21,thousand,Number,nghìn,/ˈθaʊzənd/,a thousand + noun,The ocean has been a source of food for thousands of years. (Đại dương là nguồn cung cấp thực phẩm trong hàng ngàn năm.),"Trong đoạn văn, ""thousand"" được sử dụng để chỉ số lượng một nghìn năm."
22,years,Noun,năm,/jɪrz/,over the years,"Over the years, the demand for seafood has increased dramatically. (Trong những năm qua, nhu cầu về hải sản đã tăng lên đáng kể.)","Trong đoạn văn, ""years"" được sử dụng để chỉ đơn vị thời gian là năm."
23,ago,Adverb,trước,/əˈɡoʊ/,time period + ago,The fishing industry was very different a century ago. (Ngành công nghiệp đánh bắt cá đã rất khác biệt cách đây một thế kỷ.),"Trong đoạn văn, ""ago"" được sử dụng để chỉ một sự kiện đã xảy ra trong quá khứ, cách thời điểm hiện tại một khoảng thời gian nhất định."
1,Fisheries,Noun,Ngành đánh bắt cá,/ˈfɪʃəriz/,commercial fisheries,The growth of fisheries in the 20th century was unsustainable. (Sự phát triển của ngành đánh bắt cá trong thế kỷ 20 là không bền vững.) ,"Trong đoạn văn, ""fisheries"" được dùng để chỉ hoạt động đánh bắt cá nói chung, bao gồm cả quy mô và phạm vi của nó."
2,intensified,Verb,Gia tăng cường độ,/ɪnˈtɛnsɪfaɪd/,intensify efforts/pressure,Fishing activities intensified as demand for seafood grew. (Hoạt động đánh bắt cá gia tăng khi nhu cầu về hải sản tăng lên.),"Trong đoạn văn, ""intensified"" mô tả sự gia tăng về cường độ, quy mô và hiệu quả của hoạt động đánh bắt cá qua các thế kỷ."
3,over,Preposition,Qua,/ˈoʊvər/,over the years/decades,The environmental impact of fishing has worsened over the centuries. (Ảnh hưởng của việc đánh bắt cá đến môi trường ngày càng trở nên tồi tệ hơn qua nhiều thế kỷ.),"Trong ngữ cảnh này, ""over""  chỉ sự trải dài trong một khoảng thời gian, cụ thể là qua nhiều thế kỷ."
4,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The government implemented new regulations for the fishing industry. (Chính phủ đã thực hiện các quy định mới cho ngành đánh bắt cá.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
5,centuries,Noun,Thế kỷ,/ˈsɛntʃəriz/,over the centuries,"Over the centuries, fishing practices have evolved significantly. (Qua nhiều thế kỷ, hoạt động đánh bắt cá đã phát triển đáng kể.)","Trong đoạn văn, ""centuries"" ám chỉ một khoảng thời gian dài,  được tính bằng đơn vị trăm năm."
6,but,Conjunction,Nhưng,/bʌt/,,"The demand for seafood increased, but fishing practices remained largely unregulated. (Nhu cầu về hải sản tăng lên, nhưng các hoạt động đánh bắt cá phần lớn vẫn chưa được kiểm soát.)","Trong đoạn văn, ""but"" được dùng để thể hiện sự đối lập giữa suy nghĩ phổ biến trước thế kỷ 19 và thực tế hiện nay về nguồn tài nguyên biển."
7,even,Adverb,Thậm chí,/ˈiːvn/,even though/if,"Even by the late 19th century, the concept of overfishing was not widely understood. (Ngay cả vào cuối thế kỷ 19, khái niệm đánh bắt quá mức vẫn chưa được hiểu rộng rãi.)","Trong đoạn văn, ""even"" được dùng để nhấn mạnh rằng suy nghĩ về nguồn tài nguyên biển dồi dào vẫn tồn tại đến tận thế kỷ 19."
8,by,Preposition,Vào,/baɪ/,by + time/date,"By the dawn of the industrial age, fishing had become more efficient but also more intensive. (Vào thời kỳ đầu của kỷ nguyên công nghiệp, hoạt động đánh bắt cá đã trở nên hiệu quả hơn nhưng cũng  trở nên  cường độ hơn.) ","Trong ngữ cảnh này, ""by"" được sử dụng để chỉ một mốc thời gian cụ thể,  là vào khoảng thời gian của thế kỷ 19."
9,the,Determiner,,/ðə/ or /ðiː/,the + Noun,"The nineteenth century marked a turning point in human history, including in fishing practices. (Thế kỷ 19 đánh dấu một bước ngoặt trong lịch sử nhân loại, bao gồm cả hoạt động đánh bắt cá.)","Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
10,nineteenth,Adjective,Thế kỷ 19,/ˈnaɪnˌtinθ/,the nineteenth century,"The nineteenth century saw a dramatic increase in the exploitation of natural resources, including fish. (Thế kỷ 19 đã chứng kiến ​​sự gia tăng đáng kể trong việc khai thác tài nguyên thiên nhiên, bao gồm cả cá.)","Trong đoạn văn, ""nineteenth"" dùng để chỉ thế kỷ 19, thời điểm mà nhận thức về nguồn tài nguyên biển vẫn còn hạn chế."
11,century,Noun,Thế kỷ,/ˈsɛntʃəri/,a century ago,"A century ago, the idea of depleting the ocean's resources seemed inconceivable. (Một thế kỷ trước, ý tưởng về việc làm cạn kiệt tài nguyên đại dương dường như là điều không thể tưởng tượng được.)","Trong đoạn văn, ""century"" được dùng để chỉ một khoảng thời gian 100 năm."
12,it,Pronoun,Nó,/ɪt/,,It was believed that the ocean was an inexhaustible resource. (Người ta tin rằng đại dương là một nguồn tài nguyên vô tận.),"Trong đoạn văn, ""it"" được sử dụng để thay thế cho cụm từ ""the plentiful resources of the sea were for the most part beyond the reach of fishing""."
13,was,Verb be,được,/wʌz/ hoặc /wəz/,It was + past participle,It was widely assumed that technology wouldn't impact fish populations. (Người ta đã cho rằng công nghệ sẽ không ảnh hưởng đến quần thể cá.),"Trong đoạn văn, ""was felt"" được dùng để diễn tả một ý kiến, quan điểm phổ biến vào thời điểm đó."
14,still,Adverb,Vẫn,/stɪl/,still + verb,"Despite advancements in fishing techniques, it was still believed that the ocean could provide limitless bounty. (Mặc dù kỹ thuật đánh bắt đã tiến bộ, nhưng người ta vẫn tin rằng đại dương có thể cung cấp nguồn lợi vô hạn.)","Trong đoạn văn, ""still"" dùng để nhấn mạnh rằng suy nghĩ về nguồn tài nguyên biển dồi dào vẫn tồn tại cho đến thời điểm được nhắc đến."
15,felt,Verb,"Cảm thấy, cho rằng",/fɛlt/,feel that + clause,People felt that the vastness of the ocean would protect it from overexploitation. (Mọi người cảm thấy rằng sự bao la của đại dương sẽ bảo vệ nó khỏi việc khai thác quá mức.),"Trong đoạn văn, ""felt"" được dùng để diễn đạt cảm nhận, suy nghĩ hoặc quan điểm của con người về một vấn đề nào đó."
16,justifiably,Adverb,Có lý do chính đáng ,/ˈdʒʌstɪfaɪəbli/,justifiably + adjective/verb,People were justifiably concerned about overfishing only when fish stocks showed clear signs of decline. (Mọi người chỉ lo ngại về việc đánh bắt quá mức một cách chính đáng khi trữ lượng cá có dấu hiệu suy giảm rõ ràng.),"Trong đoạn văn, ""justifiably"" chỉ ra rằng suy nghĩ về nguồn tài nguyên biển dồi dào là có cơ sở, dựa trên những hiểu biết và công nghệ đánh bắt lúc bấy giờ."
17,that,Conjunction,Rằng,/ðæt/,,It was thought that the ocean could replenish itself faster than fishing could deplete it. (Người ta cho rằng đại dương có thể tự phục hồi nhanh hơn tốc độ đánh bắt cá làm cạn kiệt nó.),"Trong đoạn văn, ""that"" được dùng để kết nối mệnh đề ""the plentiful resources of the sea were for the most part beyond the reach of fishing"" với động từ ""felt""."
18,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The plentiful resources of the sea were a source of wonder and sustenance. (Nguồn tài nguyên phong phú của biển cả là nguồn gốc của sự kỳ diệu và nguồn sống.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
19,plentiful,Adjective,"Phong phú, dồi dào",/ˈplɛntɪfəl/,plentiful supply/resources,The plentiful supply of fish in the past led to a false sense of security about the ocean's resilience. (Nguồn cung cấp cá dồi dào trong quá khứ đã dẫn đến cảm giác an toàn giả tạo về khả năng phục hồi của đại dương.),"Trong đoạn văn, ""plentiful"" miêu tả sự phong phú, dồi dào của nguồn tài nguyên biển, đặc biệt là cá, vào thời điểm đó."
20,resources,Noun,Tài nguyên,/ˈriːsɔːrsɪz/,natural resources,"The ocean's resources are not inexhaustible, and we must use them sustainably. (Tài nguyên của đại dương không phải là vô tận, và chúng ta phải sử dụng chúng một cách bền vững.)","Trong đoạn văn, ""resources"" ám chỉ nguồn tài nguyên thiên nhiên có thể khai thác từ biển, chủ yếu là cá và các loài sinh vật biển khác."
21,of,Preposition,Của,/əv/ hoặc /ʌv/,,The health of the ocean is directly related to the health of the planet. (Sức khỏe của đại dương có liên quan trực tiếp đến sức khỏe của hành tinh.),"Trong đoạn văn, ""of"" dùng để chỉ sự sở hữu,  nguồn gốc của nguồn tài nguyên (resources) là từ biển (sea)."
22,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The sea holds immense ecological and economic value. (Biển có giá trị sinh thái và kinh tế to lớn.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
23,sea,Noun,Biển,/siː/,,Protecting the sea from pollution is crucial for the well-being of marine life and human populations. (Bảo vệ biển khỏi ô nhiễm là rất quan trọng đối với sự tồn tại của sinh vật biển và con người.),"Trong đoạn văn, ""sea"" dùng để chỉ vùng nước mặn rộng lớn, là môi trường sống của các loài sinh vật biển, bao gồm cả cá."
24,were,Verb be,được,/wɜːr/,,Fish were once so abundant that they were considered an inexhaustible resource. (Cá từng rất dồi dào đến mức chúng được coi là nguồn tài nguyên vô tận.),"Trong đoạn văn, ""were"" là động từ to be ở dạng quá khứ, dùng để miêu tả trạng thái của nguồn tài nguyên biển trong quá khứ."
25,for,Preposition,Đối với,/fɔːr/,for the most part,"For the most part, fishing regulations were nonexistent in the past. (Phần lớn, các quy định đánh bắt cá đã không tồn tại trong quá khứ.)","Trong đoạn văn, ""for the most part"" là một cụm từ có nghĩa là 'phần lớn' hoặc 'chủ yếu'."
26,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The majority of fish caught in the past came from unregulated fishing grounds. (Phần lớn cá đánh bắt được trong quá khứ đến từ các ngư trường không được kiểm soát.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
27,most,Adjective,"Phần lớn, chủ yếu",/moʊst/,most of + noun,Most of the damage to the ocean has occurred in recent decades. (Phần lớn thiệt hại đối với đại dương đã xảy ra trong những thập kỷ gần đây.),"Trong đoạn văn, ""most"" dùng để chỉ phần lớn, đa số,  trong trường hợp này là phần lớn nguồn tài nguyên biển."
28,part,Noun,Phần,/pɑːrt/,for the most part,A significant part of the ocean remains unexplored. (Một phần đáng kể của đại dương vẫn chưa được khám phá.),"Trong đoạn văn, ""part"" ám chỉ một phần trong tổng thể, kết hợp với ""for the most""  tạo thành cụm từ ""for the most part""  mang nghĩa 'phần lớn', 'chủ yếu'."
29,beyond,Preposition,"Vượt khỏi, ngoài tầm",/biˈjɑːnd/,beyond reach/control,The environmental consequences of overfishing were beyond the comprehension of past generations. (Hậu quả môi trường của việc đánh bắt quá mức nằm ngoài khả năng hiểu biết của các thế hệ trước.),"Trong đoạn văn, ""beyond""  mang nghĩa là 'vượt ra ngoài' giới hạn, khả năng nào đó. Ở đây, nó diễn tả  nguồn tài nguyên biển quá dồi dào, nằm ngoài khả năng đánh bắt của con người thời bấy giờ."
30,the,Determiner,,/ðə/ or /ðiː/,the + Noun,"The reach of fishing technology has expanded dramatically, threatening even remote fish populations. (Tầm hoạt động của công nghệ đánh bắt đã mở rộng đáng kể, đe dọa đến cả những quần thể cá ở xa.)","Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
31,reach,Noun,Tầm với,/riːtʃ/,within reach/beyond reach,"Modern fishing fleets have a global reach, capable of exploiting fish stocks far from their home ports. (Các đội tàu đánh cá hiện đại có tầm hoạt động toàn cầu, có khả năng khai thác trữ lượng cá ở xa các cảng biển của họ.)","Trong đoạn văn, ""reach""  ám chỉ khả năng tiếp cận, khai thác một thứ gì đó, ở đây là  khả năng đánh bắt  nguồn lợi hải sản của con người."
32,of,Preposition,Của,/əv/ hoặc /ʌv/,,The future of fishing depends on responsible practices and sustainable management. (Tương lai của ngành đánh bắt cá phụ thuộc vào các hoạt động có trách nhiệm và quản lý bền vững.),"Trong đoạn văn, ""of"" thể hiện mối liên hệ,  khả năng đánh bắt (reach) thuộc về  hoạt động đánh cá (fishing)."
33,fishing,Noun,Đánh bắt cá,/ˈfɪʃɪŋ/,go fishing/fishing industry,Fishing has been a vital source of food and livelihood for centuries. (Đánh bắt cá là nguồn cung cấp thực phẩm và sinh kế quan trọng trong nhiều thế kỷ.),"Trong đoạn văn, ""fishing"" dùng để chỉ hoạt động đánh bắt cá nói chung."
34,and,Conjunction,Và,/ænd/,,Sustainable fishing practices and marine conservation efforts are essential for the health of the ocean. (Thực hành đánh bắt cá bền vững và nỗ lực bảo tồn biển là rất cần thiết cho sức khỏe của đại dương.),"Trong đoạn văn, ""and""  được dùng để nối hai mệnh đề, thể hiện sự liên quan logic giữa chúng, ở đây là  do nguồn lợi  dồi dào nên  việc hạn chế đánh bắt là không cần thiết."
35,so,Conjunction,Vì vậy,/soʊ/,so + clause,"The ocean was considered an endless resource, so conservation efforts were minimal. (Đại dương được coi là một nguồn tài nguyên vô tận, vì vậy các nỗ lực bảo tồn là rất ít.)","Trong đoạn văn, ""so""  được dùng để chỉ kết quả của  việc nguồn tài nguyên biển  dồi dào,  đó là  không cần thiết phải hạn chế đánh bắt."
36,there,Pronoun,,/ðɛr/,there is/are/was/were,There was a misconception that the ocean could withstand unlimited exploitation. (Đã có một quan niệm sai lầm rằng đại dương có thể chịu đựng được sự khai thác vô hạn.),"Trong ngữ cảnh này, ""there"" được dùng như một đại từ ngữ pháp,  không mang một ý nghĩa cụ thể nào, thường xuất hiện trong cấu trúc ""there is/was""."
37,was,Verb be,"thì, là, ở",/wʌz/ hoặc /wəz/,,There was little concern for the long-term health of fish populations. (Người ta ít quan tâm đến sức khỏe lâu dài của quần thể cá.),"Trong đoạn văn, ""was"" là động từ to be ở dạng quá khứ, dùng để diễn tả trạng thái  trong quá khứ."
38,little,Determiner,Ít,/ˈlɪtl/,little + uncountable noun,Little attention was paid to the potential consequences of overfishing. (Ít ai chú ý đến những hậu quả tiềm ẩn của việc đánh bắt quá mức.),"Trong đoạn văn, ""little""  mang nghĩa là  rất ít hoặc  không có,  trong trường hợp này  chỉ  sự thiếu  nhu cầu  hạn chế đánh bắt cá."
39,need,Noun,Nhu cầu,/niːd/,need to do something,There is an urgent need for stricter fishing regulations. (Cần phải có các quy định đánh bắt cá nghiêm ngặt hơn.),"Trong đoạn văn, ""need""  thể hiện sự cần thiết phải làm một việc gì đó,  trong trường hợp này là  hạn chế  đánh bắt cá."
40,to,Preposition,Để,/tuː/ hoặc /tə/,in order to/so as to,International cooperation is crucial to protect shared fish stocks. (Hợp tác quốc tế là rất quan trọng để bảo vệ trữ lượng cá chung.),"Trong đoạn văn, ""to"" được sử dụng trước động từ nguyên mẫu ""restrict""  để chỉ mục đích."
41,restrict,Verb,Hạn chế,/rɪˈstrɪkt/,restrict something,Governments should restrict fishing during breeding seasons. (Chính phủ nên hạn chế đánh bắt cá trong mùa sinh sản.),"Trong đoạn văn, ""restrict""  mang nghĩa  giới hạn hoặc  kiểm soát một hoạt động nào đó, ở đây là  hạn chế  hoạt động đánh bắt cá."
42,fishing,Noun,Đánh bắt cá,/ˈfɪʃɪŋ/,go fishing/ban fishing,Overfishing can have devastating impacts on marine ecosystems. (Đánh bắt quá mức có thể có tác động tàn phá đối với hệ sinh thái biển.),"Trong đoạn văn, ""fishing""  ám chỉ  hoạt động đánh bắt cá,  có thể là  thương mại hoặc  giải trí."
43,or,Conjunction,Hoặc,/ɔːr/,either ... or/neither ... nor,Countries can choose to restrict fishing or face the consequences of depleted fish stocks. (Các quốc gia có thể chọn hạn chế đánh bắt cá hoặc đối mặt với hậu quả của việc cạn kiệt trữ lượng cá.),"Trong đoạn văn, ""or"" dùng để đưa ra hai lựa chọn: hạn chế đánh bắt (restrict fishing) hoặc  thành lập khu bảo tồn (create protected areas)."
44,create,Verb,Tạo ra,/kriˈeɪt/,create something,Creating marine reserves can help fish populations recover. (Việc tạo ra các khu bảo tồn biển có thể giúp quần thể cá phục hồi.),"Trong đoạn văn, ""create""  mang nghĩa  hình thành,  thiết lập  một cái gì đó mới, ở đây là  thành lập các khu vực bảo tồn biển."
45,protected,Adjective,Được bảo vệ,/prəˈtɛktɪd/,protected area/species,Protected areas play a vital role in preserving marine biodiversity. (Các khu bảo tồn đóng một vai trò quan trọng trong việc bảo tồn đa dạng sinh học biển.),"Trong đoạn văn, ""protected""  mô tả  trạng thái được  bảo vệ,  che chở  khỏi nguy hiểm hoặc  tác động xấu, ở đây là  bảo vệ  các loài sinh vật biển  trong khu vực được chỉ định."
46,areas,Noun,Khu vực,/ˈeriəz/,protected areas/restricted areas,Establishing protected areas is crucial for the long-term health of the ocean. (Việc thiết lập các khu bảo tồn là rất quan trọng đối với sức khỏe lâu dài của đại dương.),"Trong đoạn văn, ""areas"" ám chỉ  vùng,  khu vực  cụ thể,  trong trường hợp này là  khu vực biển  được  bảo vệ."
1,The,Determiner,,/ðə/ or /ðiː/,the + Noun,The twentieth century witnessed a dramatic increase in global population. (Thế kỷ XX chứng kiến ​​sự gia tăng dân số toàn cầu một cách chóng mặt.),"Trong đoạn văn, ""the"" được sử dụng trước một danh từ đã được xác định hoặc được hiểu ngầm trong ngữ cảnh, ở đây là ""twentieth century""."
2,twentieth,Adjective,Thứ hai mươi,/ˈtwɛntiɪθ/,the twentieth century,The twentieth century marked a period of rapid technological advancement. (Thế kỷ XX đánh dấu một giai đoạn phát triển công nghệ nhanh chóng.),"Trong đoạn văn, ""twentieth"" được sử dụng để chỉ thế kỷ 20."
3,century,Noun,Thế kỷ,/ˈsɛntʃəri/,twentieth century/in the 21st century,The previous century saw significant changes in fishing practices. (Thế kỷ trước đã chứng kiến ​​những thay đổi đáng kể trong hoạt động đánh bắt cá.),"Trong đoạn văn, ""century"" được sử dụng như một đơn vị thời gian, tương đương với 100 năm."
4,heralded,Verb,Báo hiệu,/ˈhɛrəldɪd/,herald the beginning/arrival of something,The invention of the steam engine heralded the industrial revolution. (Việc phát minh ra động cơ hơi nước đã báo hiệu cuộc cách mạng công nghiệp.),"Trong đoạn văn, ""heralded"" được sử dụng để miêu tả thế kỷ 20 như một dấu hiệu, một điềm báo trước cho sự gia tăng mạnh mẽ về cường độ đánh bắt cá."
5,an,Determiner,một,/æn/,an + Noun,The discovery of new fishing grounds led to an increase in fishing effort. (Việc phát hiện ra các ngư trường mới đã dẫn đến sự gia tăng nỗ lực đánh bắt.),"Trong đoạn văn, ""an"" được sử dụng trước một danh từ số ít đếm được bắt đầu bằng nguyên âm, ở đây là ""escalation""."
6,escalation,Noun,Sự leo thang,/ˌɛskəˈleɪʃən/,escalation of violence/conflict,The escalation in fishing intensity has had devastating consequences for marine life. (Sự leo thang về cường độ đánh bắt cá đã gây ra hậu quả tàn khốc cho sinh vật biển.),"Trong đoạn văn, ""escalation"" được sử dụng để mô tả sự gia tăng nhanh chóng và đáng kể về cường độ đánh bắt cá."
7,in,Preposition,"về, trong",/ɪn/,an increase in something,Technological advancements have resulted in a significant increase in fishing capacity. (Những tiến bộ công nghệ đã dẫn đến sự gia tăng đáng kể về năng lực đánh bắt.),"Trong đoạn văn, ""in"" được sử dụng để chỉ phạm vi, lĩnh vực mà sự leo thang diễn ra, ở đây là cường độ đánh bắt cá."
8,fishing,Noun,đánh bắt cá,/ˈfɪʃɪŋ/,fishing industry/go fishing,Overfishing is a serious threat to the health of our oceans. (Đánh bắt quá mức là một mối đe dọa nghiêm trọng đối với sức khỏe của các đại dương.),"Trong đoạn văn, ""fishing"" được sử dụng để chỉ hoạt động đánh bắt cá nói chung."
9,intensity,Noun,cường độ,/ɪnˈtɛnsəti/,the intensity of the storm,The intensity of fishing pressure can vary depending on the species and location. (Cường độ của áp lực đánh bắt có thể khác nhau tùy thuộc vào loài và địa điểm.),"Trong đoạn văn, ""intensity"" được sử dụng để chỉ mức độ tập trung, mạnh mẽ của hoạt động đánh bắt cá."
10,that,Determiner,mà,/ðæt/,,The increasing demand for seafood is a major factor that contributes to overfishing. (Nhu cầu ngày càng tăng đối với hải sản là một yếu tố chính góp phần vào việc đánh bắt quá mức.),"Trong đoạn văn, ""that"" là đại từ quan hệ, được sử dụng để thay thế cho cụm từ ""an escalation in fishing intensity"" và kết nối mệnh đề sau nó."
11,is,Verb be,là,/ɪz/,,Overfishing is a complex issue with far-reaching ecological and economic consequences. (Đánh bắt quá mức là một vấn đề phức tạp với những hậu quả sâu rộng về sinh thái và kinh tế.),"Trong đoạn văn, ""is"" là động từ to be ở thì hiện tại, được sử dụng để miêu tả tính chất của sự leo thang về cường độ đánh bắt cá."
12,unprecedented,Adjective,chưa từng có,/ʌnˈprɛsədɛntɪd/,unprecedented levels/growth,The current rate of biodiversity loss is unprecedented in human history. (Tốc độ mất đa dạng sinh học hiện nay là chưa từng có trong lịch sử nhân loại.),"Trong đoạn văn, ""unprecedented"" được sử dụng để nhấn mạnh tính chất đặc biệt, chưa từng xảy ra trước đây của sự gia tăng cường độ đánh bắt cá."
